11_5hlmnSRS_uji11;65;42;0.3558
1_libra_srs-uji1;13;7;1.0
22_horus_urd-uji22;70;69;0.0
9_PINES Reports Software Requirements Specification_Final uji9.doc;33;32;0.0
29_PDT-O7SRS-uji29;75;74;0.0
18_SoftwareRequirementsSpecification-uji18;86;8;0.3452
7_16hlmnExemplu_cerinte_software -uji7.doc;6;3;1.0
12_15hlmnSRS4.0_uji12;106;59;0.3051
4.argos_urd-uji4;39;20;0.3036
13_T1-Req-uji13;64;30;0.2542
24_srsv6-uji24;24;12;0.7778
15_bpms-uji15;17;5;0.4333
2_SRS_sample V1.2;17;9;0.4516
14_yh-rr-ss-jw1-uji14;33;14;1.0
;;average;0.4447571428571428
